type,meter_number,mpan_top,mpar,serial_number
elec,2000053110524,03801127,,E11Z97035
elec,2000000159177,03801126,,L07C37341
gas,,,49673706,E016K1438315D6
elec,2000002074143,03801126,,E10Z07945
gas,,,60294204,819897
gas,,,5024286309,E016K1588315D6
elec,1012856538858,03801201,,E13Z017908
gas,,,3319915406,07509928
elec,1200039354052,03801952,,E12Z105046
elec,1200039353981,03801952,,E12Z074360
elec,2000000959920,03801126,,S73C16005
gas,,,11962205,E025K0678215D6
elec,2000005640010,03801127,,E12Z005685
elec,1013061781652,04811205,,Z99E005398
elec,2000001479369,03801127,,E14Z047841
gas,,,3366248408,G4A06208390001
elec,1012398321580,03801201,,Z03E029135
elec,2000001834521,03801127,,E12Z070407
gas,,,5044666500,E6E01978499601
elec,2000001976379,03801127,,E12Z016905
gas,,,9219966600,M016A0004016A6
gas,,,8855927909,80008259
elec,2000051953094,00845453,,E13Z061988
elec,2000027533900,03801127,,E14Z009937
elec,2000054625922,03801127,,L07C37456
elec,2000000026608,03801126,,S69C00892
gas,,,9325841202,M016K0075113D6
elec,1200061378313,00900200,,213012793
elec,2000002131396,04108136,,217213483
gas,,,9308307005,4200831S
gas,,,89447800,M025K0417515D6
gas,,,60639807,E016K0044719D6
elec,2000008877967,03801H03,,E13Z038545
gas,,,49686300,M025A0114103A6
elec,2000002153210,03801126,,A10X079156
gas,,,8823553304,M016A0834810A6
gas,,,60294810,R040U1379995D6
gas,,,608247601,714
elec,1900017020500,03801320,,D0337047
gas,,,8818817601,G4K00209941501
elec,2000055173172,03801H08,,219032934
elec,2000003666763,00900457,,218480034
gas,,,8450622810,E6E00995289503
elec,1200060023857,03801952,,K12A000096
elec,1012844589204,03801201,,E12Z031478
elec,2000001936881,03801126,,E10BG55087
elec,1100013006997,04808N13,,E17BG04192
elec,2000001001793,03801126,,E10Z08061
gas,,,9374796810,E025K0423118D6
elec,2000057172542,00845453,,K17C00953
gas,,,3333183900,02500035
elec,1610030458440,03801631,,E11UP00122
elec,2000000906246,04065129,,H03C36688
gas,,,5026811806,G4K00373331401
elec,2000000046561,03801127,,D08C67658
elec,2000001776126,04108136,,E17UP08846
elec,2000050637890,03801126,,F99C64235
elec,1200021596102,03801956,,L69A 03230
elec,2000051730847,03801126,,D02C40002
elec,2000002077144,03801126,,D15R64812
elec,1200039354025,03801952,,E13Z031073
gas,,,2178790410,0000378
elec,2000001832979,03801127,,P06C10427
elec,2000002074269,03801127,,E14Z047971
gas,,,60294709,M040K0141909D6
gas,,,9116652509,M016A0224216A6
gas,,,9082869505,G4A50089901501
elec,2000001976360,03801126,,E12Z091634
gas,,,4195388510,0103872
elec,2200013108622,03801110,,
elec,1900070436985,00845550,,211237434
elec,1100018471861,04807037,,Z05FF08204
elec,2000000645097,03801127,,E14Z040585
gas,,,61782200,M025A0381011D6
elec,1200021863045,00808009,,E19Z004353
elec,2000000001418,04108136,,D00C88389
elec,1160001473998,03801013,,K10W572745
gas,,,60492208,M040K0334115D6
elec,2000002998666,03801126,,S04C34240
elec,1900060571376,03801320,,L8548451
gas,,,20071709,M160K0413615D7
elec,2000057107446,03801100,,D15R12113
elec,1900037389019,04811120,,L8303134
gas,,,8851426103,M016A0796611A6
elec,2000002926262,03801126,,E14UP05946
elec,1012996742940,03801202,,16P2077510
elec,1012410481683,04142205,,Z05E031143
elec,2000053857085,03802127,,P05C05318
elec,2000000884372,03801127,,S88C98683
gas,,,3338946009,M016K0539012D6
elec,2000002910652,03801127,,215037205
gas,,,3920357603,E6S03289401256
elec,1460001916044,04811011,,D07W520835
elec,2000000849020,03801126,,E14UP02929
elec,1023545902327,00845200,,K15W304753
elec,2000050351033,03801127,,S81C80593
gas,,,3354457603,M016A0111700A6
elec,2000002126971,03801126,,N54C13384
elec,1012501194831,03801201,,I05EA01967
elec,2000050637881,03801126,,
gas,,,60516701,G4K00039401401
gas,,,9187221810,G4W00965591002
elec,2000055663450,00900457,,E12UP02599
elec,1100024524383,04811037,,E12Z062235
elec,2000003668487,03801126,,S88C84910
elec,2200021034170,03801110,,A08X138693
elec,2000002910634,03801126,,K94C55499
gas,,,2961701501,0036878
gas,,,2962338502,G4K80296370501
gas,,,3384935306,G4K00258101701
gas,,,18100309,E016K0066917D6
elec,2000002050300,03801126,,F99C37131
gas,,,2958005802,568593
gas,,,2958005802,568593
gas,,,8821263700,G4K00257141401
gas,,,7676165307,839144
elec,2000051769862,00845453,,P12C00165
gas,,,3346069800,G4K00153621401
gas,,,9353761706,M016K0220716D6
elec,1012853230769,03801201,,L97E01263
elec,1200038409028,03801952,,L78A 00395
elec,1030083274267,03801003,,D12C06002
elec,1300012579648,03801201,,N408J11035
gas,,,49622509,M025A0671310D6
elec,2000002050356,03801127,,S04R37811
gas,,,9338457503,M16K0531914D6
